clock,avg_frame_bitrate,frame_bitrate_deviation,black_ratio_in_view,is_rebuffer,latency,download_data_in_interval
1930,0,0,0,True,1940.0,585000.0
1940,0,0,0,True,1950.0,585000.0
1950,0,0,0,True,1960.0,585000.0
1960,0,0,0,True,1970.0,585000.0
1970,0,0,0,True,1980.0,585000.0
1980,0,0,0,True,1990.0,585000.0
1990,0,0,0,True,2000.0,585000.0
2000,0,0,0,True,2010.0,550000.0
2010,0,0,0,True,2020.0,550000.0
2020,0,0,0,True,2030.0,550000.0
2030,0,0,0,True,2040.0,550000.0
2040,0,0,0,True,2050.0,550000.0
2050,0,0,0,True,2060.0,550000.0
2060,0,0,0,True,2070.0,550000.0
2070,0,0,0,True,2080.0,550000.0
2080,0,0,0,True,2090.0,550000.0
2090,0,0,0,True,2100.0,550000.0
2100,0,0,0,True,2110.0,550000.0
2110,0,0,0,True,2120.0,550000.0
2120,0,0,0,True,2130.0,550000.0
2130,0,0,0,True,2140.0,550000.0
2140,0,0,0,True,2150.0,550000.0
2150,0,0,0,True,2160.0,550000.0
2160,0,0,0,True,2170.0,550000.0
2170,0,0,0,True,2180.0,550000.0
2180,0,0,0,True,2190.0,550000.0
2190,0,0,0,True,2200.0,550000.0
2200,0,0,0,True,2210.0,550000.0
2210,0,0,0,True,2220.0,550000.0
2220,0,0,0,True,2230.0,550000.0
2230,0,0,0,True,2240.0,550000.0
2240,0,0,0,True,2250.0,550000.0
2250,0,0,0,True,2260.0,550000.0
2260,0,0,0,True,2270.0,550000.0
2270,0,0,0,True,2280.0,550000.0
2280,0,0,0,True,2290.0,550000.0
2290,0,0,0,True,2300.0,550000.0
2300,0,0,0,True,2310.0,550000.0
2310,0,0,0,True,2320.0,550000.0
2320,0,0,0,True,2330.0,550000.0
2330,0,0,0,True,2340.0,550000.0
2340,0,0,0,True,2350.0,550000.0
2350,0,0,0,True,2360.0,550000.0
2360,0,0,0,True,2370.0,550000.0
2370,0,0,0,True,2380.0,550000.0
2380,0,0,0,True,2390.0,550000.0
2390,0,0,0,True,2400.0,550000.0
2400,0,0,0,True,2410.0,550000.0
2410,0,0,0,True,2420.0,550000.0
2420,0,0,0,True,2430.0,550000.0
2430,0,0,0,True,2440.0,550000.0
2440,0,0,0,True,2450.0,550000.0
2450,0,0,0,True,2460.0,550000.0
2460,0,0,0,True,2470.0,550000.0
2470,0,0,0,True,2480.0,550000.0
2480,0,0,0,True,2490.0,550000.0
2490,0,0,0,True,2500.0,550000.0
2500,0,0,0,True,2510.0,550000.0
2510,0,0,0,True,2520.0,550000.0
2520,0,0,0,True,2530.0,550000.0
2530,0,0,0,True,2540.0,550000.0
2540,0,0,0,True,2550.0,550000.0
2550,0,0,0,True,2560.0,550000.0
2560,0,0,0,True,2570.0,550000.0
2570,0,0,0,True,2580.0,550000.0
2580,0,0,0,True,2590.0,550000.0
2590,0,0,0,True,2600.0,550000.0
2600,0,0,0,True,2610.0,550000.0
