clock,avg_frame_bitrate,frame_bitrate_deviation,black_ratio_in_view,is_rebuffer,latency,download_data_in_interval
0,0,0,0,True,10.0,390000.0
10,0,0,0,True,20.0,390000.0
20,0,0,0,True,30.0,390000.0
30,0,0,0,True,40.0,390000.0
40,0,0,0,True,50.0,390000.0
50,0,0,0,True,60.0,390000.0
60,0,0,0,True,70.0,390000.0
70,0,0,0,True,80.0,390000.0
80,0,0,0,True,90.0,390000.0
90,0,0,0,True,100.0,390000.0
100,0,0,0,True,110.0,390000.0
110,0,0,0,True,120.0,390000.0
120,0,0,0,True,130.0,390000.0
130,0,0,0,True,140.0,390000.0
140,0,0,0,True,150.0,390000.0
150,0,0,0,True,160.0,390000.0
160,0,0,0,True,170.0,390000.0
170,0,0,0,True,180.0,390000.0
180,0,0,0,True,190.0,390000.0
190,0,0,0,True,200.0,390000.0
200,0,0,0,True,210.0,390000.0
210,0,0,0,True,220.0,390000.0
220,0,0,0,True,230.0,390000.0
230,0,0,0,True,240.0,390000.0
240,0,0,0,True,250.0,390000.0
250,0,0,0,True,260.0,390000.0
260,0,0,0,True,270.0,390000.0
270,0,0,0,True,280.0,390000.0
280,0,0,0,True,290.0,390000.0
290,0,0,0,True,300.0,390000.0
300,0,0,0,True,310.0,390000.0
310,0,0,0,True,320.0,390000.0
320,0,0,0,True,330.0,390000.0
330,0,0,0,True,340.0,390000.0
340,0,0,0,True,350.0,390000.0
350,0,0,0,True,360.0,390000.0
360,0,0,0,True,370.0,390000.0
370,0,0,0,True,380.0,390000.0
380,0,0,0,True,390.0,390000.0
390,0,0,0,True,400.0,390000.0
400,0,0,0,True,410.0,390000.0
410,0,0,0,True,420.0,390000.0
420,0,0,0,True,430.0,390000.0
430,0,0,0,True,440.0,390000.0
440,0,0,0,True,450.0,390000.0
450,0,0,0,True,460.0,390000.0
460,0,0,0,True,470.0,390000.0
470,0,0,0,True,480.0,390000.0
480,0,0,0,True,490.0,390000.0
490,0,0,0,True,500.0,390000.0
500,0,0,0,True,510.0,390000.0
510,0,0,0,True,520.0,390000.0
520,0,0,0,True,530.0,390000.0
530,0,0,0,True,540.0,390000.0
