0	9750000
1000	14625000
2000	13750000
3000	13500000
4000	12500000
5000	15500000
6000	13625000
7000	13500000
8000	10875000
9000	14500000
10000	10750000
11000	15500000
12000	1000000
13000	500000
14000	13750000
15000	9375000
16000	1625000
17000	500000
18000	14500000
19000	14000000
20000	14375000
21000	12250000
22000	1625000
23000	14000000
24000	11375000
25000	14500000
26000	13500000
27000	11875000
28000	15625000
29000	12000000
30000	6750000
31000	1625000
32000	13250000
33000	13375000
34000	15125000
35000	12000000
36000	12625000
37000	13375000
38000	13750000
39000	14000000
40000	18500000
41000	17875000
42000	24375000
43000	17625000
44000	1750000
45000	5500000
46000	1750000
47000	5125000
48000	3750000
49000	3625000
50000	15125000
51000	14875000
52000	15375000
53000	12750000
54000	13250000
55000	14250000
56000	13250000
57000	10375000
58000	14000000
59000	13125000
60000	13750000
61000	10875000
62000	14750000
63000	13250000
64000	14375000
65000	13625000
66000	13750000
67000	11875000
68000	13625000
69000	14000000
70000	15250000
71000	13500000
72000	13875000
73000	14500000
74000	3000000
75000	1125000
76000	15625000
77000	13500000
78000	5875000
79000	1875000
80000	13000000
81000	11125000
82000	13625000
83000	12375000
84000	13500000
85000	11375000
86000	15500000
87000	7375000
88000	12000000
89000	10875000
90000	3875000
91000	4125000
92000	2375000
93000	12125000
94000	14750000
95000	16375000
96000	17500000
97000	19625000
98000	19875000
99000	22750000
100000	24000000
101000	32125000
102000	36500000
103000	42500000
104000	48875000
105000	62500000
106000	74750000
107000	72625000
108000	34000000
109000	28375000
110000	50000000
111000	78000000
112000	84750000
113000	85625000
114000	89625000
115000	83125000
116000	61625000
117000	89750000
118000	91125000
119000	93875000
120000	11500000
121000	0
122000	14500000
123000	13000000
124000	13625000
125000	15125000
126000	13125000
127000	12000000
128000	56125000
129000	98875000
130000	86625000
131000	109750000
132000	121125000
133000	115500000
134000	113125000
135000	95000000
136000	92250000
137000	63750000
138000	2750000
139000	37625000
140000	3750000
141000	8375000
142000	3875000
143000	1625000
144000	4875000
145000	10625000
146000	12250000
147000	15625000
148000	37875000
149000	44750000
150000	1750000
151000	250000
152000	0
153000	7625000
154000	7500000
155000	12000000
156000	13875000
157000	11125000
158000	26500000
159000	34500000
160000	41625000
161000	39625000
162000	41875000
163000	45000000
164000	48375000
165000	51250000
166000	51375000
167000	54000000
168000	54875000
169000	63125000
170000	68750000
171000	71375000
172000	79625000
173000	80250000
174000	75250000
175000	85750000
176000	62500000
177000	68625000
178000	79250000
179000	96500000
180000	110875000
181000	57750000
182000	8000000
183000	62625000
184000	77250000
185000	74250000
186000	82125000
187000	90875000
188000	98625000
189000	82000000
190000	96125000
191000	105000000
192000	95625000
193000	85000000
194000	79625000
195000	79625000
196000	86500000
197000	88875000
198000	88125000
199000	103250000
200000	95125000
201000	79625000
202000	77625000
203000	77000000
204000	69250000
205000	83500000
206000	95625000
207000	88000000
208000	71000000
209000	82625000
210000	71875000
211000	80625000
212000	89875000
213000	86500000
214000	98125000
215000	89250000
216000	87625000
217000	82875000
218000	71125000
219000	68500000
220000	78000000
221000	79250000
222000	82250000
223000	73625000
224000	83250000
225000	40625000
226000	7750000
227000	0
228000	3875000
229000	13875000
