0 71912.736 143825472.0 2840
2840 109816.97600000002 219633952.0 3990
6830 122738.104 245476208.0 4780
11610 114441.716 228883432.0 8110
19720 119671.096 239342192.0 5440
25160 119356.15200000003 238712304.0 4390
29550 116574.12400000001 233148248.0 5690
35240 117227.52 234455040.0 4460
39700 114586.37599999999 229172752.0 2990
42690 115283.608 230567216.0 8050
50740 122833.248 245666496.0 4350
55090 117173.01199999999 234346024.0 4520
0 82350.128 164700256.0 2850
2850 102300.544 204601088.0 4150
7000 134200.336 268400672.0 4900
11900 105800.752 211601504.0 8100
20000 130500.464 261000928.0 5500
25500 129800.312 259600624.0 4450
29950 126400.568 252801136.0 5650
35600 128600.824 257201648.0 4550
40150 125200.216 250400432.0 3100
43250 126800.888 253601776.0 8050
51300 133500.152 267000304.0 4250
55550 128300.496 256600992.0 4650
0 91500.864 183001728.0 2750
2750 96200.152 192400304.0 4200
6950 142300.488 284600976.0 4750
11700 98500.616 197001232.0 7950
19650 137200.736 274401472.0 5400
25050 135600.424 271200848.0 4400
29450 121800.952 243601904.0 5750
35200 138800.304 277600608.0 4450
39650 118400.568 236801136.0 3000
42650 134500.232 269000464.0 8100
50750 140200.656 280401312.0 4150
54900 127600.888 255201776.0 4750
0 94000.568 188001136.0 2800
2800 99200.824 198401648.0 4100
6900 144500.216 289000432.0 4800
11700 103600.152 207200304.0 8000
19700 141200.488 282400976.0 5450
25150 139400.736 278801472.0 4400
29550 124300.304 248600608.0 5700
35250 142800.952 285601904.0 4550
39800 122100.656 244201312.0 3100
42850 136700.424 273400848.0 8050
50900 143400.888 286801776.0 4300
55150 130500.232 261000464.0 4600
