clock,avg_frame_bitrate,frame_bitrate_deviation,black_ratio_in_view,is_rebuffer,latency,download_data_in_interval
19770,2988141.3808,4065977860005.4087,0.308,False,5150.0,560000.0
19780,3017905.576,4036499472279.9414,0.3024,False,5150.0,560000.0
19790,3047769.32,3999197381634.4746,0.2964,False,5150.0,560000.0
19800,3064806.616,3973842011115.416,0.2928,False,5150.0,560000.0
19810,3083374.6544,3938791848306.6,0.2884,False,5150.0,560000.0
19820,3097269.3088,3925937993104.8857,0.286,False,5150.0,560000.0
19830,3120795.728,3885322184919.069,0.2808,False,5150.0,560000.0
19840,3152499.1248,3825964276775.996,0.2736,False,5150.0,560000.0
19850,3161482.9552,3815578878338.524,0.272,False,5150.0,560000.0
19860,3188115.4544,3764360792434.371,0.266,False,5150.0,560000.0
19870,3215199.4432,3712700671552.548,0.26,False,5150.0,560000.0
19880,3250296.2112,3639882085751.9937,0.252,False,5150.0,560000.0
19890,3288327.3424,3556037306519.3306,0.2432,False,5150.0,560000.0
19900,3318631.5888,3490762813850.6914,0.2364,False,5150.0,560000.0
19910,3343171.5552,3428861983709.959,0.2304,False,5150.0,560000.0
19920,3370300.3488,3374457481499.206,0.2248,False,5150.0,560000.0
19930,3398659.3552,3302092166475.674,0.218,False,5150.0,560000.0
19940,3432185.7984,3214921305123.422,0.21,False,5150.0,560000.0
19950,3464852.9792,3136568965896.924,0.2028,False,5150.0,560000.0
19960,3495164.8016,3047558475481.578,0.1952,False,5150.0,560000.0
19970,3531313.5296,2956676697121.8457,0.1872,False,5150.0,560000.0
19980,3562436.2624,2870784688337.288,0.18,False,5150.0,560000.0
19990,3607495.664,2737018624151.9375,0.1692,False,5150.0,560000.0
20000,3639108.5392,2647034388401.8916,0.162,False,5150.0,575000.0
20010,3670310.8768,2554280718982.636,0.1548,False,5150.0,575000.0
20020,3687442.9008,2501988493864.4497,0.1508,False,5150.0,575000.0
20030,3711337.4144,2421444520497.9673,0.1448,False,5150.0,575000.0
20040,3765420.0544,2240459169750.128,0.1316,False,5150.0,575000.0
20050,3812374.2672,2090212657505.2405,0.1208,False,5150.0,575000.0
20060,3840071.416,1992222666974.1165,0.114,False,5150.0,575000.0
20070,3876956.5456,1863052328484.7524,0.1052,False,5150.0,575000.0
20080,3893955.7984,1803738155328.5608,0.1012,False,5150.0,575000.0
