60742800 7630
3260280 200
35880320 1750
1014088 50
67680984 2870
19816800 850
0 10
31722568 1290
2043096 90
4487008 180
27155088 1080
2310712 100
43863976 1830
2677960 120
7090096 310
14228360 620
67498432 8030
134764048 5880
77983968 3110
72913424 3040
61110872 2530
5804392 250
117273336 5140
81552392 4840
42855016 3460
24197768 1990
5721648 750
39240232 5220
8135472 700
3537312 230
93182152 9260
99164880 4240
4699176 200
61354976 2460
2222704 90
194793256 8400
83276472 3390
653872 40
65016008 3510
3044616 260
45332584 3790
101107328 10170
700752 50
62570952 3060
3256360 140
56385880 2980
97754544 4900
104811504 9810
44046480 1870
64430912 2680
133795792 5460
22046720 900
34198848 1410
3721792 160
7829896 330
120249304 5260
500448 30
47329392 2350
13628896 710
8770536 740
15813576 1340
882152 60
53546584 3970
104811504 9810
16218608 740
3740920 170
66254928 2740
34931872 1420
14484056 580
183642808 7560
7701544 310
3284176 130
5890128 240
79512976 3530
40744648 1950
14955376 760
104811504 9810
212579616 8820
8476872 370
61135208 2460
38477568 1600
71042144 3360
58926240 2440
7258832 370
12895656 660
20581040 1060
96912304 8160
56047448 6450
874720 60
15895232 1010
104811504 9810
3971024 190
43963864 1830
56651472 2380
567800 30
10440472 420
44170824 1760
30681464 1290
30601384 1320
1768440 70
26877656 1060
3218656 140
10979528 460
30045648 1240
3171360 140
0 10
104811504 9810
3971024 190
72664840 3060
55920712 2270
1175280 50
12300576 490
10632336 430
60712664 2570
49201784 1970
661064 30
17770832 740
12314112 510
57319648 2940
46747496 1670
2740272 90
30373856 1320
14363880 700
104811504 9810
171998120 7070
5607072 240
78605688 3270
8219544 340
136485952 5960
124527192 6910
8308360 620
47018328 4010
10202384 1020
37615856 5210
17553112 1200
1176328 70
61398392 3070
62274528 3210
104811504 9810
173325008 7120
118298688 4910
2133080 90
2007488 90
6189832 260
146945080 6480
29684408 1500
15078024 810
38278640 2940
7701544 780
65147336 5210
42889128 5730
11889752 760
46709464 2200
104811504 9810
11092536 510
129002240 5300
97616944 4030
29835496 1210
17209576 710
809448 40
140597744 6080
20311224 970
41398352 2100
14243008 1070
822760 70
190480864 16310
8089192 310
38083136 1750
104811504 9810
11092536 510
61399112 2560
105155152 4240
137208872 5700
17689376 710
867872 40
63846512 3020
114164408 6040
41780016 3470
13628896 720
786552 50
8600528 860
15813576 1610
60341376 6720
16418736 1060
104811504 9810
11092536 510
177803752 7290
70815776 2920
16624488 690
59352680 2430
2044040 90
190358624 10030
55668272 4860
659920 90
73981376 7690
2836496 190
66051632 3020
32469096 1760
104811504 9810
66412384 2800
17438208 740
54891280 2210
120210976 4940
599616 30
159045280 6800
2826320 140
47185104 2300
109285848 8090
677344 80
40222216 3510
4077112 490
48862800 5280
16180072 780
62065720 2850
104811504 9810
16071544 730
43075880 1760
25196328 1080
24132568 990
3153112 130
11205448 450
40146728 1600
4303216 180
72279232 3020
3682072 150
8102840 330
29699648 1230
3906528 170
81132464 3940
104811504 9810
171998120 7070
8976384 390
66437120 2760
5391232 230
134399008 6030
153245792 8610
839712 90
40013456 3330
3067608 420
29672008 2180
16312560 3700
64954616 3670
4941280 190
104811504 9810
11092536 510
98933416 4110
56994752 2270
4700584 190
140315472 5830
2044040 90
145906256 6530
4886064 250
6820976 350
30448488 1910
8868600 760
16704344 1170
7259912 620
9320680 950
46203384 3910
14745072 880
3124296 300
104811504 9810
212579616 8820
2541696 110
69535840 2820
28364880 1180
647608 30
131655272 5820
41917632 2120
8102560 510
20177688 1730
789032 70
16345392 1090
66021720 5560
7943896 530
104811504 9810
76448888 3240
8668760 360
7807856 330
57514264 2300
81534760 3400
61377072 2500
5759152 250
0 10
18217040 770
8987232 360
59472856 2950
964624 30
16728888 500
104811504 9810
171998120 7070
68761824 2880
6893408 270
154823560 6700
83295992 3910
6926384 360
128232664 10690
24094552 3890
677344 40
16731272 1070
35976672 1710
935624 40
104811504 9810
8702448 400
77179168 3230
13869120 580
171534880 7000
3073720 130
14513192 600
8474800 360
4349320 190
79156256 3820
10363008 310
15962896 480
64279944 3060
143203280 11120
3512440 430
6214704 2670
77603488 4390
104811504 9810
91125768 3840
28173728 1140
10328096 420
67587784 2770
8975736 390
8139728 360
71758408 2910
56884064 2320
7701544 760
3284176 300
58764336 2070
150409480 9540
986088 60
15702960 1500
52454648 6630
10701632 680
